	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	spk_r2l	spk_r3l	spk_r3ld1	spk_r3ld2	spk_r4l	spk_r5l	spk_r6l	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	col_r2l	col_r3l	col_r3ld1	col_r3ld2	col_r4l	col_r5l	col_r6l	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6	lib_r2l	lib_r3l	lib_r3ld1	lib_r3ld2	lib_r4l	lib_r5l	lib_r6l
VARIABLES	y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1		
																																										
3._at						-0.7	-16.4						-1.4	-16.3						-2.3	3.1						-2.0	3.3						-16.7	-1.7						-13.6	-1.0
						(6.8)	(6.2)						(6.0)	(5.2)						(5.4)	(5.6)						(6.7)	(5.0)						(5.6)	(6.3)						(5.6)	(5.7)
						[-0.140 - 0.125]	[-0.281 - -0.047]						[-0.136 - 0.097]	[-0.171 - 0.046]						[-0.137 - 0.091]	[-0.117 - 0.073]						[-0.122 - 0.082]	[-0.065 - 0.131]						[-0.172 - 0.048]	[-0.111 - 0.148]						[-0.148 - 0.108]	[-0.121 - 0.102]
						0.912	0.006						0.745	0.257						0.998	0.581						0.703	0.504						0.272	0.781						0.756	0.866
1bn.treat		49.3							49.2							28.1							28.0							53.8							53.4					
		(2.4)							(2.3)							(2.2)							(2.2)							(2.4)							(2.4)					
		[0.447 - 0.539]							[0.446 - 0.538]							[0.238 - 0.324]							[0.236 - 0.323]							[0.490 - 0.585]							[0.487 - 0.582]					
		0.000							0.000							0.000							0.000							0.000							0.000					
2.treat		40.3	-9.0						40.6	-8.6						22.7	-5.4						23.0	-5.0						50.0	-3.8						50.0	-3.4				
		(2.4)	(3.4)						(2.4)	(3.4)						(2.0)	(2.9)						(2.0)	(3.0)						(2.4)	(3.4)						(2.4)	(3.4)				
		[0.356 - 0.449]	[-0.156 - -0.024]						[0.359 - 0.453]	[-0.152 - -0.020]						[0.188 - 0.266]	[-0.112 - 0.004]						[0.191 - 0.269]	[-0.108 - 0.008]						[0.453 - 0.547]	[-0.104 - 0.029]						[0.453 - 0.547]	[-0.101 - 0.032]				
		0.000	0.007						0.000	0.011						0.000	0.066						0.000	0.093						0.000	0.266						0.000	0.314				
3.treat		43.8	-5.5	3.6					43.8	-5.4	3.2					23.2	-4.9	0.5					23.0	-4.9	0.1					54.8	1.0	4.8					54.6	1.2	4.6			
		(2.5)	(3.5)	(3.5)					(2.5)	(3.5)	(3.5)					(2.2)	(3.1)	(3.0)					(2.2)	(3.1)	(3.0)					(2.4)	(3.4)	(3.4)					(2.4)	(3.4)	(3.4)			
		[0.388 - 0.488]	[-0.123 - 0.013]	[-0.033 - 0.104]					[0.388 - 0.488]	[-0.122 - 0.014]	[-0.037 - 0.100]					[0.189 - 0.274]	[-0.110 - 0.011]	[-0.053 - 0.063]					[0.187 - 0.273]	[-0.110 - 0.012]	[-0.058 - 0.059]					[0.501 - 0.594]	[-0.057 - 0.077]	[-0.018 - 0.114]					[0.500 - 0.593]	[-0.055 - 0.079]	[-0.020 - 0.112]			
		0.000	0.116	0.306					0.000	0.120	0.361					0.000	0.112	0.872					0.000	0.113	0.986					0.000	0.769	0.157					0.000	0.727	0.172			
2.partyid3	1.2				1.6										-0.3				0.2										-2.0				-1.6									
	(3.4)				(3.4)										(3.1)				(3.1)										(3.3)				(3.3)									
	[-0.056 - 0.079]				[-0.051 - 0.083]										[-0.064 - 0.058]				[-0.059 - 0.062]										[-0.085 - 0.044]				[-0.080 - 0.048]									
	0.733				0.643										0.926				0.953										0.537				0.627									
3.partyid3	-3.4				-3.8										-8.6				-8.4										-9.1				-9.0									
	(3.9)				(3.8)										(3.6)				(3.6)										(3.8)				(3.8)									
	[-0.111 - 0.042]				[-0.113 - 0.037]										[-0.158 - -0.015]				[-0.154 - -0.014]										[-0.166 - -0.016]				[-0.166 - -0.015]									
	0.379				0.321										0.018				0.019										0.018				0.019									
1.treat				9.0							8.6							5.4							5.0							3.8							3.4			
				(3.4)							(3.4)							(2.9)							(3.0)							(3.4)							(3.4)			
				[0.024 - 0.156]							[0.020 - 0.152]							[-0.004 - 0.112]							[-0.008 - 0.108]							[-0.029 - 0.104]							[-0.032 - 0.101]			
				0.007							0.011							0.066							0.093							0.266							0.314			
2.partyid3l								2.2				2.3										2.6				2.7										-2.3				-1.9		
								(4.3)				(4.3)										(3.9)				(3.9)										(3.9)				(3.9)		
								[-0.063 - 0.107]				[-0.062 - 0.107]										[-0.051 - 0.103]				[-0.049 - 0.104]										[-0.100 - 0.054]				[-0.097 - 0.058]		
								0.615				0.602										0.515				0.486										0.552				0.628		
3.partyid3l								-4.1				-3.9										-8.4				-8.1										-9.0				-8.9		
								(3.5)				(3.5)										(3.2)				(3.2)										(3.4)				(3.4)		
								[-0.110 - 0.028]				[-0.107 - 0.030]										[-0.148 - -0.021]				[-0.144 - -0.019]										[-0.156 - -0.024]				[-0.155 - -0.022]		
								0.249				0.268										0.009				0.010										0.007				0.009		
																																										
Observations	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002
Standard errors in brackets																																										
