	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
	spk_r1	spk_r1d1	spk_r1d2	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	col_r1	col_r1d1	col_r1d2	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	lib_r1	lib_r1d1	lib_r1d2	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6
VARIABLES	y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1		y1	y1	y1	y1	y1	y1	y1	y1	y1	
																														
	0.000	0.038			0.000	0.047					0.000	0.104			0.000	0.124					0.000	0.315			0.000	0.296				
3.treat	44.9	-3.4	4.3		45.0	-3.2	4.2				23.1	-5.3	0.1		23.1	-4.9	0.2				56.7	4.2	8.0		56.7	4.0	8.0			
	(2.9)	(3.9)	(4.0)		(2.9)	(3.9)	(4.0)				(2.2)	(3.3)	(3.2)		(2.3)	(3.3)	(3.2)				(2.9)	(3.9)	(4.0)		(2.7)	(3.8)	(3.9)			
	[0.391 - 0.506]	[-0.111 - 0.043]	[-0.034 - 0.121]		[0.392 - 0.507]	[-0.109 - 0.045]	[-0.035 - 0.120]				[0.187 - 0.275]	[-0.117 - 0.011]	[-0.062 - 0.064]		[0.187 - 0.276]	[-0.112 - 0.015]	[-0.061 - 0.066]				[0.510 - 0.625]	[-0.035 - 0.119]	[0.002 - 0.159]		[0.514 - 0.620]	[-0.034 - 0.114]	[0.004 - 0.156]			
	0.000	0.383	0.274		0.000	0.418	0.286				0.000	0.106	0.969		0.000	0.136	0.944				0.000	0.280	0.045		0.000	0.285	0.039			
1.treat			7.8				7.4						5.4				5.1						3.8				4.0			
			(3.7)				(3.7)						(3.3)				(3.3)						(3.8)				(3.8)			
			[0.004 - 0.151]				[0.001 - 0.147]						[-0.011 - 0.120]				[-0.014 - 0.116]						[-0.036 - 0.112]				[-0.035 - 0.114]			
			0.038				0.047						0.104				0.124						0.315				0.296			
partyid7				-1.7				-1.7						-2.4				-2.4						-3.5				-3.4		
				(0.8)				(0.8)						(0.7)				(0.6)						(0.8)				(0.8)		
				[-0.033 - -0.001]				[-0.033 - -0.002]						[-0.037 - -0.012]				[-0.036 - -0.012]						[-0.050 - -0.019]				[-0.049 - -0.018]		
				0.033				0.029						0.000				0.000						0.000				0.000		
																														
Observations	2,016	2,016	2,016	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,012	2,012	2,012	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,009	2,009	2,009	2,002	2,002	2,002	2,002	2,002	2,002	2,002
Standard errors in brackets																														
