	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
				[-0.299 - 0.147]				[-0.222 - 0.150]				[-0.252 - 0.195]
				0.506				0.705				0.804
3.treat#3.partyid3l				-0.042				0.129				-0.075
				(0.086)				(0.071)				(0.082)
				[-0.210 - 0.125]				[-0.011 - 0.269]				[-0.235 - 0.086]
				0.621				0.070				0.362
col					.	.	.	.				
					(.)	(.)	(.)	(.)				
					[. - .]	[. - .]	[. - .]	[. - .]				
					.	.	.	.				
lib									.	.	.	.
									(.)	(.)	(.)	(.)
									[. - .]	[. - .]	[. - .]	[. - .]
									.	.	.	.
Constant	0.486	0.468	0.504	0.483	0.307	0.337	0.313	0.336	0.583	0.561	0.599	0.598
	(0.033)	(0.042)	(0.031)	(0.037)	(0.031)	(0.042)	(0.029)	(0.037)	(0.033)	(0.042)	(0.030)	(0.036)
	[0.421 - 0.552]	[0.386 - 0.549]	[0.443 - 0.564]	[0.411 - 0.556]	[0.245 - 0.368]	[0.254 - 0.420]	[0.256 - 0.369]	[0.264 - 0.408]	[0.518 - 0.648]	[0.479 - 0.643]	[0.540 - 0.659]	[0.527 - 0.669]
	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
												
Observations	2,009	2,009	2,009	2,009	2,005	2,005	2,005	2,005	2,002	2,002	2,002	2,002
R-squared	0.008	0.010	0.007	0.010	0.016	0.019	0.017	0.023	0.016	0.021	0.022	0.024
Robust standard errors in brackets												
