	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	(0.226)	(0.225)	(0.227)	(0.228)	(0.274)	(0.271)	(0.277)	(0.275)	(0.221)	(0.219)	(0.219)	(0.219)
	[-0.314 - 0.571]	[-0.288 - 0.594]	[-0.311 - 0.581]	[-0.300 - 0.592]	[-0.244 - 0.828]	[-0.224 - 0.838]	[-0.230 - 0.855]	[-0.213 - 0.864]	[-0.168 - 0.699]	[-0.188 - 0.671]	[-0.172 - 0.687]	[-0.179 - 0.678]
	0.569	0.496	0.553	0.521	0.286	0.257	0.259	0.236	0.229	0.270	0.240	0.253
1.female	-0.562	-0.573	-0.577	-0.589	-0.213	-0.214	-0.238	-0.246	0.001	0.009	-0.025	-0.016
	(0.133)	(0.133)	(0.133)	(0.133)	(0.156)	(0.157)	(0.156)	(0.158)	(0.140)	(0.140)	(0.140)	(0.140)
	[-0.822 - -0.301]	[-0.833 - -0.312]	[-0.837 - -0.317]	[-0.850 - -0.329]	[-0.519 - 0.092]	[-0.522 - 0.094]	[-0.544 - 0.068]	[-0.555 - 0.063]	[-0.274 - 0.275]	[-0.265 - 0.282]	[-0.299 - 0.249]	[-0.291 - 0.258]
	0.000	0.000	0.000	0.000	0.171	0.173	0.127	0.118	0.996	0.950	0.856	0.907
2.age4	-0.550	-0.561	-0.544	-0.570	-0.390	-0.401	-0.366	-0.421	-0.543	-0.556	-0.534	-0.524
	(0.236)	(0.234)	(0.236)	(0.232)	(0.240)	(0.237)	(0.242)	(0.239)	(0.242)	(0.243)	(0.243)	(0.242)
	[-1.013 - -0.087]	[-1.019 - -0.103]	[-1.006 - -0.081]	[-1.025 - -0.115]	[-0.860 - 0.081]	[-0.866 - 0.064]	[-0.841 - 0.108]	[-0.890 - 0.047]	[-1.018 - -0.068]	[-1.033 - -0.079]	[-1.009 - -0.058]	[-0.998 - -0.050]
	0.020	0.016	0.021	0.014	0.104	0.091	0.131	0.078	0.025	0.022	0.028	0.030
3.age4	-0.832	-0.837	-0.827	-0.847	-0.743	-0.744	-0.730	-0.770	-0.975	-0.992	-0.963	-0.951
	(0.252)	(0.251)	(0.252)	(0.250)	(0.272)	(0.269)	(0.273)	(0.272)	(0.257)	(0.258)	(0.257)	(0.257)
	[-1.327 - -0.337]	[-1.328 - -0.345]	[-1.321 - -0.333]	[-1.337 - -0.358]	[-1.275 - -0.210]	[-1.272 - -0.216]	[-1.265 - -0.194]	[-1.302 - -0.238]	[-1.479 - -0.471]	[-1.498 - -0.486]	[-1.466 - -0.460]	[-1.455 - -0.448]
	0.001	0.001	0.001	0.001	0.006	0.006	0.008	0.005	0.000	0.000	0.000	0.000
4.age4	-0.829	-0.830	-0.815	-0.832	-1.033	-1.049	-0.995	-1.054	-0.816	-0.847	-0.808	-0.801
	(0.291)	(0.290)	(0.290)	(0.288)	(0.319)	(0.314)	(0.318)	(0.314)	(0.301)	(0.300)	(0.300)	(0.298)
