	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	[-0.112 - 0.088]	[-0.113 - 0.085]	[-0.119 - 0.084]	[-0.122 - 0.079]	[-0.096 - 0.081]	[-0.092 - 0.085]	[-0.103 - 0.076]	[-0.095 - 0.084]	[-0.130 - 0.080]	[-0.126 - 0.082]	[-0.138 - 0.073]	[-0.135 - 0.076]
	0.814	0.779	0.736	0.678	0.865	0.941	0.761	0.899	0.638	0.674	0.544	0.581
3.race4	-0.047	-0.045	-0.049	-0.046	-0.014	-0.011	-0.016	-0.010	0.007	0.003	0.006	0.004
	(0.062)	(0.060)	(0.061)	(0.060)	(0.056)	(0.055)	(0.056)	(0.055)	(0.052)	(0.053)	(0.053)	(0.053)
	[-0.168 - 0.073]	[-0.164 - 0.073]	[-0.170 - 0.072]	[-0.163 - 0.071]	[-0.123 - 0.095]	[-0.119 - 0.098]	[-0.126 - 0.093]	[-0.117 - 0.098]	[-0.095 - 0.109]	[-0.101 - 0.107]	[-0.098 - 0.109]	[-0.099 - 0.107]
	0.442	0.453	0.425	0.437	0.800	0.849	0.771	0.859	0.896	0.955	0.914	0.936
4.race4	0.034	0.034	0.031	0.030	-0.065	-0.065	-0.070	-0.069	-0.092	-0.092	-0.094	-0.094
	(0.046)	(0.046)	(0.046)	(0.046)	(0.040)	(0.039)	(0.040)	(0.040)	(0.044)	(0.044)	(0.044)	(0.044)
	[-0.057 - 0.124]	[-0.056 - 0.123]	[-0.059 - 0.121]	[-0.060 - 0.119]	[-0.143 - 0.012]	[-0.142 - 0.012]	[-0.148 - 0.008]	[-0.147 - 0.010]	[-0.179 - -0.005]	[-0.179 - -0.006]	[-0.181 - -0.007]	[-0.180 - -0.007]
	0.465	0.464	0.503	0.518	0.100	0.099	0.080	0.086	0.038	0.037	0.034	0.035
2.hhsize	-0.076	-0.075	-0.077	-0.077	-0.045	-0.046	-0.045	-0.053	-0.105	-0.109	-0.105	-0.106
	(0.050)	(0.050)	(0.051)	(0.050)	(0.046)	(0.045)	(0.045)	(0.044)	(0.046)	(0.047)	(0.047)	(0.047)
	[-0.175 - 0.022]	[-0.173 - 0.024]	[-0.176 - 0.022]	[-0.176 - 0.022]	[-0.135 - 0.044]	[-0.134 - 0.043]	[-0.134 - 0.043]	[-0.140 - 0.034]	[-0.196 - -0.014]	[-0.201 - -0.018]	[-0.196 - -0.014]	[-0.198 - -0.014]
	0.129	0.136	0.129	0.128	0.319	0.314	0.316	0.231	0.024	0.019	0.024	0.024
3.hhsize	-0.103	-0.099	-0.103	-0.102	-0.073	-0.075	-0.073	-0.079	-0.175	-0.183	-0.177	-0.179
	(0.055)	(0.055)	(0.055)	(0.056)	(0.048)	(0.048)	(0.048)	(0.048)	(0.053)	(0.053)	(0.053)	(0.053)
