	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
	[0.360 - 0.453]	[-0.150 - -0.020]			[0.363 - 0.456]	[-0.145 - -0.014]					[0.189 - 0.268]	[-0.112 - 0.003]			[0.190 - 0.269]	[-0.104 - 0.010]					[0.452 - 0.543]	[-0.103 - 0.027]			[0.453 - 0.544]	[-0.102 - 0.028]				
	0.000	0.010			0.000	0.018					0.000	0.063			0.000	0.107					0.000	0.254			0.000	0.266				
3.treat	43.7	-5.4	3.1		43.9	-5.0	3.0				23.3	-4.9	0.5		23.5	-4.1	0.6				54.3	0.7	4.5		54.7	1.2	4.8			
	(2.4)	(3.3)	(3.4)		(2.4)	(3.3)	(3.4)				(2.1)	(3.0)	(2.9)		(2.1)	(3.0)	(3.0)				(2.3)	(3.3)	(3.3)		(2.3)	(3.3)	(3.3)			
	[0.390 - 0.484]	[-0.119 - 0.010]	[-0.036 - 0.097]		[0.392 - 0.487]	[-0.115 - 0.016]	[-0.037 - 0.096]				[0.192 - 0.275]	[-0.108 - 0.009]	[-0.053 - 0.063]		[0.194 - 0.277]	[-0.099 - 0.017]	[-0.052 - 0.064]				[0.497 - 0.589]	[-0.058 - 0.073]	[-0.020 - 0.110]		[0.501 - 0.593]	[-0.054 - 0.077]	[-0.016 - 0.113]			
	0.000	0.100	0.365		0.000	0.136	0.384				0.000	0.096	0.863		0.000	0.168	0.830				0.000	0.827	0.173		0.000	0.727	0.142			
1.treat			8.5				7.9						5.5				4.7						3.8				3.7			
			(3.3)				(3.3)						(2.9)				(2.9)						(3.3)				(3.3)			
			[0.020 - 0.150]				[0.014 - 0.145]						[-0.003 - 0.112]				[-0.010 - 0.104]						[-0.027 - 0.103]				[-0.028 - 0.102]			
			0.010				0.018						0.063				0.107						0.254				0.266			
partyid7				-1.2				-1.3						-2.1				-2.0						-2.3				-2.2		
				(0.8)				(0.8)						(0.7)				(0.7)						(0.7)				(0.7)		
				[-0.028 - 0.003]				[-0.028 - 0.003]						[-0.035 - -0.008]				[-0.034 - -0.007]						[-0.037 - -0.008]				[-0.036 - -0.007]		
				0.121				0.105						0.002				0.003						0.002				0.003		
																														
Observations	2,016	2,016	2,016	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,012	2,012	2,012	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,009	2,009	2,009	2,002	2,002	2,002	2,002	2,002	2,002	2,002
Standard errors in brackets																														
