	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	spk_r2l	spk_r3l	spk_r3ld1	spk_r3ld2	spk_r4l	spk_r5l	spk_r6l	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	col_r2l	col_r3l	col_r3ld1	col_r3ld2	col_r4l	col_r5l	col_r6l	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6	lib_r2l	lib_r3l	lib_r3ld1	lib_r3ld2	lib_r4l	lib_r5l	lib_r6l
VARIABLES	y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1		
																																										
3._at						-5.6	-12.1						-6.3	-14.3						-3.8	-2.4						-2.7	3.9						-24.7	-0.0						-21.1	-1.1
						(7.5)	(6.9)						(6.5)	(5.7)						(5.6)	(5.0)						(6.1)	(4.5)						(6.7)	(6.9)						(6.0)	(6.1)
						[-0.203 - 0.090]	[-0.157 - 0.115]						[-0.224 - 0.097]	[-0.255 - -0.031]						[-0.149 - 0.072]	[-0.076 - 0.143]						[-0.126 - 0.072]	[-0.060 - 0.139]						[-0.379 - -0.116]	[-0.116 - 0.156]						[-0.329 - -0.094]	[-0.120 - 0.121]
						0.451	0.763						0.407	0.475						0.496	0.627						0.687	0.439						0.000	0.996						0.000	0.857
1bn.treat		48.4							48.2							28.3							28.1							52.9							52.5					
		(2.6)							(2.6)							(2.4)							(2.4)							(2.6)							(2.6)					
		[0.433 - 0.536]							[0.430 - 0.533]							[0.236 - 0.329]							[0.234 - 0.328]							[0.478 - 0.581]							[0.474 - 0.576]					
		0.000							0.000							0.000							0.000							0.000							0.000					
2.treat		40.0	-8.5						40.5	-7.6						22.2	-6.1						22.6	-5.5						48.5	-4.4						48.8	-3.7				
		(2.6)	(3.7)						(2.6)	(3.7)						(2.3)	(3.3)						(2.2)	(3.3)						(2.8)	(3.8)						(2.8)	(3.8)				
		[0.348 - 0.452]	[-0.157 - -0.012]						[0.353 - 0.457]	[-0.149 - -0.004]						[0.178 - 0.266]	[-0.125 - 0.004]						[0.182 - 0.270]	[-0.119 - 0.009]						[0.431 - 0.539]	[-0.119 - 0.031]						[0.434 - 0.542]	[-0.112 - 0.037]				
		0.000	0.023						0.000	0.040						0.000	0.065						0.000	0.095						0.000	0.247						0.000	0.323				
3.treat		45.0	-3.4	5.1					44.9	-3.2	4.4					23.3	-5.0	1.1					23.2	-4.9	0.6					57.0	4.0	8.4					56.8	4.2	8.0			
		(2.9)	(3.9)	(4.0)					(2.9)	(3.9)	(3.9)					(2.2)	(3.3)	(3.2)					(2.2)	(3.3)	(3.2)					(2.8)	(3.8)	(3.9)					(2.8)	(3.8)	(3.9)			
		[0.393 - 0.508]	[-0.111 - 0.043]	[-0.027 - 0.128]					[0.392 - 0.507]	[-0.109 - 0.045]	[-0.033 - 0.122]					[0.189 - 0.277]	[-0.114 - 0.014]	[-0.052 - 0.073]					[0.188 - 0.276]	[-0.113 - 0.015]	[-0.057 - 0.068]					[0.515 - 0.624]	[-0.035 - 0.115]	[0.008 - 0.161]					[0.513 - 0.622]	[-0.033 - 0.117]	[0.003 - 0.156]			
		0.000	0.387	0.201					0.000	0.412	0.262					0.000	0.127	0.735					0.000	0.133	0.861					0.000	0.293	0.031					0.000	0.269	0.042			
2.partyid3	2.3				2.8										0.8				1.2										-5.1				-4.3									
	(3.8)				(3.8)										(3.3)				(3.3)										(3.8)				(3.7)									
	[-0.052 - 0.098]				[-0.047 - 0.103]										[-0.058 - 0.074]				[-0.053 - 0.077]										[-0.126 - 0.024]				[-0.117 - 0.030]									
	0.547				0.464										0.814				0.723										0.182				0.248									
3.partyid3	-5.2				-5.4										-10.3				-10.2										-13.6				-13.2									
	(4.0)				(3.9)										(3.3)				(3.2)										(4.0)				(3.9)									
	[-0.130 - 0.026]				[-0.131 - 0.023]										[-0.168 - -0.038]				[-0.165 - -0.038]										[-0.214 - -0.058]				[-0.208 - -0.056]									
	0.193				0.171										0.002				0.002										0.001				0.001									
1.treat				8.5							7.6							6.1							5.5							4.4							3.7			
				(3.7)							(3.7)							(3.3)							(3.3)							(3.8)							(3.8)			
				[0.012 - 0.157]							[0.004 - 0.149]							[-0.004 - 0.125]							[-0.009 - 0.119]							[-0.031 - 0.119]							[-0.037 - 0.112]			
				0.023							0.040							0.065							0.095							0.247							0.323			
2.partyid3l								-0.9				-0.9										1.9				1.9										-11.0				-10.6		
								(4.5)				(4.5)										(4.0)				(4.0)										(4.5)				(4.5)		
								[-0.098 - 0.079]				[-0.098 - 0.080]										[-0.059 - 0.098]				[-0.058 - 0.097]										[-0.199 - -0.022]				[-0.195 - -0.017]		
								0.834				0.846										0.630				0.629										0.015				0.020		
3.partyid3l								-5.9				-5.8										-9.9				-9.7										-14.4				-14.1		
								(3.4)				(3.4)										(2.9)				(2.8)										(3.4)				(3.4)		
								[-0.127 - 0.008]				[-0.125 - 0.009]										[-0.155 - -0.042]				[-0.153 - -0.042]										[-0.211 - -0.076]				[-0.208 - -0.075]		
								0.085				0.088										0.001				0.001										0.000				0.000		
																																										
Observations	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002	2,002
Standard errors in brackets																																										
