	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
	(0.126)	(0.129)	(0.126)	(0.109)	(0.111)	(0.110)	(0.126)	(0.131)	(0.126)
	[-0.284 - 0.211]	[-0.273 - 0.233]	[-0.282 - 0.214]	[-0.235 - 0.194]	[-0.223 - 0.212]	[-0.235 - 0.196]	[-0.396 - 0.099]	[-0.408 - 0.106]	[-0.390 - 0.104]
	0.772	0.879	0.788	0.851	0.960	0.859	0.240	0.248	0.255
13.income	0.058	0.077	0.070	0.009	0.025	0.013	-0.085	-0.076	-0.074
	(0.118)	(0.121)	(0.119)	(0.096)	(0.097)	(0.097)	(0.118)	(0.123)	(0.118)
	[-0.174 - 0.291]	[-0.160 - 0.314]	[-0.163 - 0.303]	[-0.180 - 0.197]	[-0.166 - 0.216]	[-0.178 - 0.204]	[-0.316 - 0.146]	[-0.317 - 0.164]	[-0.304 - 0.157]
	0.622	0.525	0.558	0.926	0.795	0.895	0.471	0.535	0.531
14.income	-0.017	0.004	-0.011	-0.045	-0.035	-0.045	-0.152	-0.143	-0.140
	(0.119)	(0.122)	(0.119)	(0.096)	(0.098)	(0.098)	(0.121)	(0.126)	(0.121)
	[-0.251 - 0.216]	[-0.235 - 0.244]	[-0.246 - 0.223]	[-0.234 - 0.144]	[-0.227 - 0.157]	[-0.238 - 0.148]	[-0.389 - 0.085]	[-0.389 - 0.103]	[-0.377 - 0.097]
	0.883	0.973	0.925	0.641	0.719	0.649	0.209	0.255	0.246
15.income	-0.070	-0.045	-0.062	-0.077	-0.055	-0.068	-0.168	-0.158	-0.157
	(0.126)	(0.128)	(0.127)	(0.100)	(0.101)	(0.102)	(0.122)	(0.127)	(0.123)
	[-0.317 - 0.176]	[-0.297 - 0.207]	[-0.311 - 0.186]	[-0.272 - 0.119]	[-0.253 - 0.143]	[-0.267 - 0.131]	[-0.407 - 0.071]	[-0.407 - 0.092]	[-0.399 - 0.084]
	0.576	0.727	0.624	0.443	0.584	0.505	0.169	0.215	0.201
16.income	-0.045	-0.027	-0.035	-0.076	-0.061	-0.069	-0.145	-0.132	-0.130
	(0.130)	(0.132)	(0.130)	(0.105)	(0.105)	(0.106)	(0.133)	(0.137)	(0.133)
	[-0.300 - 0.210]	[-0.286 - 0.233]	[-0.290 - 0.220]	[-0.282 - 0.130]	[-0.267 - 0.146]	[-0.277 - 0.139]	[-0.406 - 0.116]	[-0.400 - 0.136]	[-0.390 - 0.130]
	0.731	0.841	0.790	0.469	0.565	0.514	0.275	0.334	0.327
17.income	0.215	0.233	0.224	0.182	0.194	0.184	-0.151	-0.150	-0.151
	(0.141)	(0.145)	(0.140)	(0.140)	(0.141)	(0.140)	(0.152)	(0.153)	(0.149)
	[-0.061 - 0.491]	[-0.052 - 0.518]	[-0.051 - 0.499]	[-0.092 - 0.455]	[-0.082 - 0.471]	[-0.090 - 0.458]	[-0.449 - 0.147]	[-0.451 - 0.150]	[-0.443 - 0.142]
	0.127	0.109	0.110	0.193	0.168	0.189	0.320	0.326	0.312
18.income	0.049	0.079	0.069	-0.036	-0.029	-0.041	-0.022	-0.024	-0.017
	(0.132)	(0.135)	(0.132)	(0.110)	(0.112)	(0.112)	(0.128)	(0.133)	(0.129)
	[-0.209 - 0.307]	[-0.186 - 0.344]	[-0.190 - 0.328]	[-0.253 - 0.180]	[-0.249 - 0.190]	[-0.261 - 0.179]	[-0.273 - 0.229]	[-0.286 - 0.238]	[-0.270 - 0.237]
	0.712	0.559	0.602	0.743	0.794	0.714	0.863	0.857	0.898
2.housing	0.067	0.067	0.061	0.052	0.050	0.050	-0.013	-0.019	-0.019
	(0.041)	(0.042)	(0.041)	(0.038)	(0.038)	(0.038)	(0.041)	(0.041)	(0.041)
	[-0.014 - 0.149]	[-0.015 - 0.150]	[-0.020 - 0.143]	[-0.023 - 0.128]	[-0.024 - 0.125]	[-0.024 - 0.125]	[-0.094 - 0.067]	[-0.100 - 0.061]	[-0.099 - 0.061]
	0.105	0.107	0.137	0.174	0.187	0.186	0.742	0.639	0.644
3.housing	-0.015	-0.011	-0.009	-0.026	-0.008	-0.005	0.135	0.143	0.146
	(0.106)	(0.104)	(0.106)	(0.096)	(0.094)	(0.094)	(0.092)	(0.091)	(0.091)
	[-0.223 - 0.193]	[-0.215 - 0.193]	[-0.216 - 0.198]	[-0.215 - 0.163]	[-0.194 - 0.177]	[-0.189 - 0.178]	[-0.045 - 0.315]	[-0.035 - 0.322]	[-0.033 - 0.325]
	0.889	0.917	0.933	0.787	0.930	0.954	0.141	0.116	0.110
2.home_type	-0.097	-0.091	-0.091	-0.043	-0.033	-0.038	-0.064	-0.057	-0.052
	(0.048)	(0.048)	(0.048)	(0.041)	(0.041)	(0.041)	(0.051)	(0.050)	(0.050)
	[-0.190 - -0.003]	[-0.185 - 0.003]	[-0.184 - 0.002]	[-0.123 - 0.037]	[-0.114 - 0.048]	[-0.119 - 0.043]	[-0.164 - 0.036]	[-0.156 - 0.042]	[-0.151 - 0.046]
	0.042	0.057	0.056	0.294	0.428	0.359	0.209	0.260	0.297
3.home_type	-0.097	-0.100	-0.095	-0.094	-0.094	-0.094	0.007	0.006	0.008
	(0.046)	(0.046)	(0.046)	(0.041)	(0.041)	(0.041)	(0.044)	(0.044)	(0.044)
	[-0.187 - -0.007]	[-0.191 - -0.009]	[-0.185 - -0.006]	[-0.175 - -0.014]	[-0.176 - -0.013]	[-0.175 - -0.014]	[-0.079 - 0.093]	[-0.081 - 0.093]	[-0.078 - 0.094]
	0.035	0.031	0.037	0.022	0.023	0.022	0.869	0.889	0.852
4.home_type	0.177	0.178	0.185	0.076	0.079	0.075	0.037	0.038	0.041
	(0.078)	(0.076)	(0.077)	(0.074)	(0.072)	(0.072)	(0.076)	(0.076)	(0.076)
	[0.024 - 0.329]	[0.028 - 0.327]	[0.035 - 0.336]	[-0.070 - 0.221]	[-0.063 - 0.221]	[-0.067 - 0.217]	[-0.112 - 0.186]	[-0.110 - 0.187]	[-0.108 - 0.191]
	0.023	0.020	0.016	0.309	0.274	0.299	0.626	0.612	0.590
5.home_type	-0.204	-0.234	-0.215	-0.182	-0.216	-0.185	0.143	0.127	0.098
	(0.180)	(0.182)	(0.187)	(0.116)	(0.122)	(0.125)	(0.256)	(0.252)	(0.253)
	[-0.557 - 0.149]	[-0.591 - 0.122]	[-0.581 - 0.151]	[-0.409 - 0.044]	[-0.455 - 0.023]	[-0.431 - 0.061]	[-0.361 - 0.646]	[-0.367 - 0.621]	[-0.397 - 0.594]
	0.258	0.197	0.249	0.115	0.077	0.141	0.579	0.614	0.697
1.internet	0.016	0.008	0.013	-0.019	-0.030	-0.026	0.030	0.027	0.025
	(0.050)	(0.050)	(0.050)	(0.048)	(0.047)	(0.048)	(0.052)	(0.052)	(0.051)
	[-0.081 - 0.113]	[-0.090 - 0.106]	[-0.084 - 0.110]	[-0.113 - 0.074]	[-0.123 - 0.064]	[-0.120 - 0.068]	[-0.071 - 0.131]	[-0.074 - 0.129]	[-0.076 - 0.126]
	0.748	0.866	0.793	0.689	0.534	0.588	0.563	0.596	0.626
2.phoneservice	-0.041	-0.049	-0.048	-0.097	-0.103	-0.101	0.076	0.074	0.078
	(0.075)	(0.077)	(0.076)	(0.066)	(0.067)	(0.065)	(0.071)	(0.073)	(0.072)
	[-0.188 - 0.107]	[-0.201 - 0.103]	[-0.196 - 0.100]	[-0.227 - 0.033]	[-0.235 - 0.028]	[-0.229 - 0.026]	[-0.063 - 0.215]	[-0.069 - 0.217]	[-0.063 - 0.219]
	0.588	0.526	0.528	0.144	0.123	0.119	0.284	0.312	0.277
3.phoneservice	0.003	0.001	-0.006	-0.070	-0.072	-0.075	0.037	0.034	0.038
	(0.079)	(0.082)	(0.080)	(0.069)	(0.070)	(0.068)	(0.076)	(0.079)	(0.077)
	[-0.153 - 0.158]	[-0.160 - 0.161]	[-0.163 - 0.150]	[-0.206 - 0.067]	[-0.209 - 0.065]	[-0.208 - 0.059]	[-0.112 - 0.187]	[-0.120 - 0.188]	[-0.113 - 0.189]
	0.973	0.995	0.938	0.316	0.304	0.273	0.624	0.669	0.622
4.phoneservice	-0.038	-0.037	-0.039	-0.088	-0.087	-0.086	0.102	0.101	0.103
	(0.074)	(0.077)	(0.075)	(0.068)	(0.068)	(0.066)	(0.070)	(0.072)	(0.071)
	[-0.184 - 0.108]	[-0.188 - 0.113]	[-0.187 - 0.108]	[-0.220 - 0.044]	[-0.221 - 0.048]	[-0.216 - 0.043]	[-0.036 - 0.240]	[-0.041 - 0.243]	[-0.036 - 0.243]
	0.607	0.627	0.602	0.193	0.206	0.192	0.147	0.162	0.146
5.phoneservice	0.092	0.081	0.099	-0.279	-0.269	-0.271	-0.022	-0.015	0.004
	(0.175)	(0.175)	(0.170)	(0.113)	(0.116)	(0.112)	(0.192)	(0.193)	(0.193)
	[-0.251 - 0.435]	[-0.262 - 0.424]	[-0.234 - 0.433]	[-0.500 - -0.057]	[-0.496 - -0.042]	[-0.490 - -0.051]	[-0.399 - 0.354]	[-0.395 - 0.364]	[-0.375 - 0.383]
	0.599	0.642	0.559	0.014	0.020	0.016	0.908	0.937	0.984
52.device	-0.116	-0.114	-0.112	-0.032	-0.030	-0.035	-0.115	-0.116	-0.112
	(0.032)	(0.033)	(0.032)	(0.029)	(0.029)	(0.028)	(0.031)	(0.031)	(0.031)
	[-0.180 - -0.053]	[-0.178 - -0.050]	[-0.175 - -0.049]	[-0.088 - 0.024]	[-0.086 - 0.027]	[-0.091 - 0.021]	[-0.177 - -0.054]	[-0.178 - -0.055]	[-0.174 - -0.051]
	0.000	0.000	0.001	0.262	0.300	0.219	0.000	0.000	0.000
53.device	-0.023	-0.020	-0.021	0.034	0.035	0.032	0.038	0.040	0.039
	(0.061)	(0.060)	(0.060)	(0.050)	(0.049)	(0.049)	(0.058)	(0.057)	(0.056)
	[-0.142 - 0.095]	[-0.138 - 0.099]	[-0.139 - 0.097]	[-0.064 - 0.131]	[-0.062 - 0.132]	[-0.063 - 0.127]	[-0.075 - 0.151]	[-0.072 - 0.152]	[-0.072 - 0.149]
	0.700	0.746	0.728	0.497	0.479	0.508	0.511	0.486	0.493
2.durint	-0.245	-0.271	-0.255	-0.246	-0.292	-0.292	0.200	0.158	0.153
	(0.131)	(0.126)	(0.126)	(0.159)	(0.152)	(0.152)	(0.148)	(0.156)	(0.151)
	[-0.501 - 0.011]	[-0.518 - -0.025]	[-0.502 - -0.007]	[-0.559 - 0.066]	[-0.589 - 0.006]	[-0.590 - 0.006]	[-0.091 - 0.491]	[-0.148 - 0.464]	[-0.144 - 0.449]
	0.061	0.031	0.044	0.122	0.055	0.055	0.178	0.311	0.314
3.durint	-0.271	-0.294	-0.278	-0.230	-0.277	-0.279	0.224	0.176	0.175
	(0.133)	(0.128)	(0.128)	(0.161)	(0.153)	(0.153)	(0.151)	(0.158)	(0.153)
	[-0.532 - -0.009]	[-0.545 - -0.044]	[-0.530 - -0.026]	[-0.546 - 0.086]	[-0.577 - 0.024]	[-0.580 - 0.021]	[-0.072 - 0.520]	[-0.134 - 0.486]	[-0.126 - 0.476]
	0.042	0.021	0.031	0.154	0.071	0.068	0.138	0.265	0.256
4.durint	-0.234	-0.266	-0.235	-0.296	-0.350	-0.349	0.149	0.097	0.086
	(0.144)	(0.140)	(0.140)	(0.165)	(0.158)	(0.158)	(0.160)	(0.168)	(0.163)
	[-0.517 - 0.049]	[-0.540 - 0.008]	[-0.509 - 0.040]	[-0.620 - 0.028]	[-0.660 - -0.040]	[-0.660 - -0.038]	[-0.165 - 0.464]	[-0.232 - 0.426]	[-0.234 - 0.405]
	0.105	0.057	0.094	0.074	0.027	0.028	0.352	0.561	0.599
5.durint	-0.307	-0.324	-0.315	-0.342	-0.389	-0.392	0.182	0.146	0.138
	(0.138)	(0.133)	(0.135)	(0.164)	(0.156)	(0.157)	(0.157)	(0.164)	(0.159)
	[-0.579 - -0.036]	[-0.586 - -0.062]	[-0.579 - -0.051]	[-0.663 - -0.022]	[-0.696 - -0.082]	[-0.700 - -0.085]	[-0.125 - 0.490]	[-0.175 - 0.467]	[-0.175 - 0.450]
	0.027	0.015	0.019	0.036	0.013	0.012	0.245	0.373	0.387
2.treat	-0.087		0.024	-0.052		-0.096	-0.035		-0.058
	(0.034)		(0.072)	(0.030)		(0.064)	(0.034)		(0.074)
	[-0.154 - -0.021]		[-0.118 - 0.166]	[-0.110 - 0.007]		[-0.221 - 0.030]	[-0.101 - 0.031]		[-0.202 - 0.086]
	0.010		0.740	0.086		0.135	0.303		0.430
3.treat	-0.057		-0.022	-0.055		-0.137	0.009		0.093
	(0.034)		(0.075)	(0.031)		(0.065)	(0.034)		(0.069)
	[-0.124 - 0.010]		[-0.169 - 0.124]	[-0.115 - 0.006]		[-0.264 - -0.010]	[-0.058 - 0.076]		[-0.043 - 0.229]
	0.095		0.766	0.075		0.035	0.790		0.180
partyid7		-0.012	-0.001		-0.021	-0.032		-0.023	-0.018
		(0.008)	(0.012)		(0.007)	(0.011)		(0.008)	(0.012)
		[-0.028 - 0.004]	[-0.025 - 0.022]		[-0.035 - -0.007]	[-0.053 - -0.011]		[-0.038 - -0.008]	[-0.041 - 0.005]
		0.136	0.916		0.004	0.003		0.003	0.132
1b.treat#co.partyid7			0.000			0.000			0.000
			(0.000)			(0.000)			(0.000)
			[0.000 - 0.000]			[0.000 - 0.000]			[0.000 - 0.000]
			.			.			.
2.treat#c.partyid7			-0.028			0.013			0.006
			(0.017)			(0.014)			(0.017)
			[-0.060 - 0.005]			[-0.014 - 0.040]			[-0.028 - 0.040]
			0.093			0.358			0.724
3.treat#c.partyid7			-0.008			0.023			-0.021
			(0.017)			(0.015)			(0.016)
			[-0.041 - 0.026]			[-0.006 - 0.052]			[-0.053 - 0.011]
			0.650			0.114			0.193
col				.	.	.			
				(.)	(.)	(.)			
				[. - .]	[. - .]	[. - .]			
				.	.	.			
lib							.	.	.
							(.)	(.)	(.)
							[. - .]	[. - .]	[. - .]
							.	.	.
Constant	0.864	0.896	0.881	0.723	0.835	0.921	0.554	0.707	0.692
	(0.199)	(0.207)	(0.203)	(0.199)	(0.203)	(0.204)	(0.222)	(0.232)	(0.228)
	[0.474 - 1.253]	[0.490 - 1.302]	[0.484 - 1.279]	[0.334 - 1.113]	[0.438 - 1.233]	[0.521 - 1.320]	[0.118 - 0.990]	[0.253 - 1.162]	[0.245 - 1.140]
	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.002	0.002
									
Observations	2,016	2,009	2,009	2,012	2,005	2,005	2,009	2,002	2,002
R-squared	0.161	0.161	0.167	0.126	0.132	0.136	0.181	0.184	0.187
Robust standard errors in brackets									
