	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	spk_r2l	spk_r3l	spk_r3ld1	spk_r3ld2	spk_r4l	spk_r5l	spk_r6l	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	col_r2l	col_r3l	col_r3ld1	col_r3ld2	col_r4l	col_r5l	col_r6l	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6	lib_r2l	lib_r3l	lib_r3ld1	lib_r3ld2	lib_r4l	lib_r5l	lib_r6l
VARIABLES	y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1		
																																										
3._at						-0.5	-15.6						-1.8	-5.7						-0.4	4.2						-3.0	-2.6						-16.8	-1.9						-1.4	0.8
						(6.4)	(5.7)						(5.6)	(5.0)						(5.0)	(5.8)						(4.9)	(4.5)						(5.8)	(5.9)						(6.6)	(5.3)
						[-0.131 - 0.121]	[-0.269 - -0.044]						[-0.166 - 0.135]	[-0.159 - 0.046]						[-0.102 - 0.093]	[-0.072 - 0.155]						[-0.114 - 0.079]	[-0.053 - 0.140]						[-0.292 - -0.044]	[-0.105 - 0.138]						[-0.245 - -0.027]	[-0.114 - 0.093]
						0.939	0.007						0.754	0.002						0.931	0.579						0.726	0.377						0.279	0.744						0.015	0.879
1bn.treat		49.1							49.0							28.0							27.9							53.9							53.6					
		(2.3)							(2.3)							(2.1)							(2.1)							(2.4)							(2.3)					
		[0.446 - 0.536]							[0.445 - 0.535]							[0.238 - 0.321]							[0.237 - 0.320]							[0.493 - 0.585]							[0.490 - 0.582]					
		0.000							0.000							0.000							0.000							0.000							0.000					
2.treat		40.4	-8.7						40.7	-8.3						22.3	-5.7						22.6	-5.3						49.9	-4.0						49.9	-3.6				
		(2.3)	(3.3)						(2.4)	(3.3)						(1.9)	(2.9)						(1.9)	(2.9)						(2.3)	(3.3)						(2.3)	(3.3)				
