	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
	[0.358 - 0.453]	[-0.154 - -0.021]			[0.361 - 0.455]	[-0.149 - -0.016]					[0.192 - 0.272]	[-0.110 - 0.007]			[0.191 - 0.272]	[-0.105 - 0.012]					[0.453 - 0.546]	[-0.101 - 0.031]			[0.453 - 0.546]	[-0.101 - 0.032]				
	0.000	0.010			0.000	0.015					0.000	0.086			0.000	0.121					0.000	0.303			0.000	0.306				
3.treat	43.6	-5.7	3.0		43.9	-5.2	3.1				22.9	-5.5	-0.3		23.1	-4.7	-0.0				54.3	0.9	4.4		54.5	1.1	4.6			
	(2.5)	(3.4)	(3.5)		(2.5)	(3.4)	(3.5)				(2.2)	(3.1)	(3.0)		(2.2)	(3.1)	(3.0)				(2.4)	(3.4)	(3.4)		(2.3)	(3.4)	(3.3)			
	[0.387 - 0.485]	[-0.124 - 0.010]	[-0.038 - 0.099]		[0.389 - 0.488]	[-0.120 - 0.015]	[-0.038 - 0.099]				[0.186 - 0.272]	[-0.115 - 0.006]	[-0.062 - 0.055]		[0.189 - 0.274]	[-0.107 - 0.014]	[-0.059 - 0.059]				[0.496 - 0.590]	[-0.058 - 0.076]	[-0.022 - 0.110]		[0.500 - 0.591]	[-0.055 - 0.078]	[-0.020 - 0.112]			
	0.000	0.095	0.387		0.000	0.131	0.384				0.000	0.075	0.912		0.000	0.128	0.990				0.000	0.790	0.194		0.000	0.735	0.170			
1.treat			8.7				8.3						5.2				4.6						3.5				3.4			
			(3.4)				(3.4)						(3.0)				(3.0)						(3.4)				(3.4)			
			[0.021 - 0.154]				[0.016 - 0.149]						[-0.007 - 0.110]				[-0.012 - 0.105]						[-0.031 - 0.101]				[-0.032 - 0.101]			
			0.010				0.015						0.086				0.121						0.303				0.306			
partyid7				-1.2				-1.3						-2.1				-2.0						-2.3				-2.2		
				(0.8)				(0.8)						(0.7)				(0.7)						(0.8)				(0.8)		
				[-0.028 - 0.004]				[-0.029 - 0.003]						[-0.035 - -0.007]				[-0.034 - -0.006]						[-0.038 - -0.008]				[-0.037 - -0.007]		
				0.136				0.108						0.004				0.005						0.003				0.004		
																														
Observations	2,016	2,016	2,016	2,009	2,009	2,009	2,009	2,009	2,009	2,009	2,012	2,012	2,012	2,005	2,005	2,005	2,005	2,005	2,005	2,005	2,009	2,009	2,009	2,002	2,002	2,002	2,002	2,002	2,002	2,002
Standard errors in brackets																														
