	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
	spk_r2	spk_r3	spk_r3d1	spk_r3d2	spk_r4	spk_r5	spk_r6	spk_r2l	spk_r3l	spk_r3ld1	spk_r3ld2	spk_r4l	spk_r5l	spk_r6l	col_r2	col_r3	col_r3d1	col_r3d2	col_r4	col_r5	col_r6	col_r2l	col_r3l	col_r3ld1	col_r3ld2	col_r4l	col_r5l	col_r6l	lib_r2	lib_r3	lib_r3d1	lib_r3d2	lib_r4	lib_r5	lib_r6	lib_r2l	lib_r3l	lib_r3ld1	lib_r3ld2	lib_r4l	lib_r5l	lib_r6l
VARIABLES	y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1			y1	y1	y1	y1	y1		
																																										
1bno._at						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0
						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)
						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]
						.	.						.	.						.	.						.	.						.	.						.	.
2o._at						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0
						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)
						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]
						.	.						.	.						.	.						.	.						.	.						.	.
3o._at						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0						0.0	0.0
						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)						(0.0)	(0.0)
						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]						[0.000 - 0.000]	[0.000 - 0.000]
						.	.						.	.						.	.						.	.						.	.						.	.
1bn._at						6.1	1.1						1.2	-4.0						-17.0	-9.9						-15.6	-9.0						-11.9	12.8						-11.2	7.5
						(6.2)	(6.5)						(7.9)	(5.7)						(5.9)	(5.8)						(7.3)	(5.0)						(6.4)	(6.6)						(5.6)	(5.7)
						[-0.060 - 0.183]	[-0.191 - 0.065]						[-0.142 - 0.167]	[-0.151 - 0.072]						[-0.282 - -0.059]	[-0.229 - 0.012]						[-0.255 - -0.057]	[-0.190 - 0.016]						[-0.244 - 0.006]	[0.007 - 0.248]						[-0.246 - -0.028]	[-0.179 - 0.045]
