	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
				[-1.204 - 0.593]				[-1.109 - 0.734]				[-1.050 - 0.775]
				0.505				0.691				0.768
3.treat#3.partyid3l				-0.171				0.685				-0.323
				(0.344)				(0.403)				(0.342)
				[-0.846 - 0.503]				[-0.105 - 1.475]				[-0.993 - 0.346]
				0.619				0.089				0.344
col					.	.	.	.				
					(.)	(.)	(.)	(.)				
					[. - .]	[. - .]	[. - .]	[. - .]				
					.	.	.	.				
lib									.	.	.	.
									(.)	(.)	(.)	(.)
									[. - .]	[. - .]	[. - .]	[. - .]
									.	.	.	.
Constant	-0.054	-0.130	0.016	-0.067	-0.804	-0.676	-0.773	-0.680	0.336	0.244	0.404	0.399
	(0.135)	(0.167)	(0.124)	(0.147)	(0.155)	(0.189)	(0.141)	(0.164)	(0.136)	(0.169)	(0.125)	(0.150)
	[-0.318 - 0.210]	[-0.458 - 0.198]	[-0.226 - 0.258]	[-0.355 - 0.222]	[-1.109 - -0.500]	[-1.046 - -0.305]	[-1.049 - -0.496]	[-1.002 - -0.357]	[0.070 - 0.602]	[-0.088 - 0.576]	[0.160 - 0.649]	[0.105 - 0.693]
	0.690	0.436	0.895	0.650	0.000	0.000	0.000	0.000	0.013	0.150	0.001	0.008
												
Observations	2,009	2,009	2,009	2,009	2,005	2,005	2,005	2,005	2,002	2,002	2,002	2,002
Robust standard errors in brackets												
